TOP[Pa]	TIT[K]	Efficiency[-]	Net_sp_work[J/kgCO2]	TOT[K]
100000.000000	1260.000000	0.436100	480072.167000	613.930278	
100000.000000	1265.000000	0.438000	483903.980000	616.454565	
100000.000000	1270.000000	0.439900	487735.992000	618.975926	
100000.000000	1275.000000	0.441900	491568.190000	621.494987	
100000.000000	1280.000000	0.443800	495400.563000	624.011739	
100000.000000	1285.000000	0.445600	499233.099000	626.526173	
100000.000000	1290.000000	0.447500	503065.789000	629.038283	
100000.000000	1295.000000	0.449400	506898.624000	631.548060	
100000.000000	1300.000000	0.451200	510731.593000	634.055497	
100000.000000	1305.000000	0.453100	514564.694000	636.560589	
100000.000000	1310.000000	0.454900	518397.916000	639.063328	
100000.000000	1315.000000	0.456700	522231.255000	641.563710	
100000.000000	1320.000000	0.458500	526064.703000	644.061730	
100000.000000	1325.000000	0.460300	529900.805000	646.558087	
100000.000000	1330.000000	0.462100	533733.190000	649.052403	
100000.000000	1335.000000	0.463800	537566.952000	651.543458	
100000.000000	1340.000000	0.465600	541400.800000	654.032143	
100000.000000	1345.000000	0.467300	545234.731000	656.518454	
100000.000000	1350.000000	0.469000	549068.740000	659.002388	
100000.000000	1355.000000	0.470800	552902.823000	661.483943	
100000.000000	1360.000000	0.472500	556736.978000	663.963114	
100000.000000	1365.000000	0.474200	560571.202000	666.439900	
100000.000000	1370.000000	0.475800	564405.490000	668.914299	
100000.000000	1375.000000	0.477500	568239.841000	671.386308	
100000.000000	1380.000000	0.479200	572074.252000	673.855925	
100000.000000	1385.000000	0.480800	575908.451000	676.323183	
100000.000000	1390.000000	0.482500	579742.962000	678.788013	
100000.000000	1395.000000	0.484100	583577.527000	681.250446	
100000.000000	1400.000000	0.485700	587412.142000	683.710480	
100000.000000	1405.000000	0.487300	591246.805000	686.168115	
100000.000000	1410.000000	0.488900	595081.515000	688.623348	
100000.000000	1415.000000	0.490500	598916.269000	691.076180	
100000.000000	1420.000000	0.492100	602752.194000	693.526525	
100000.000000	1425.000000	0.493600	606587.085000	695.974546	
100000.000000	1430.000000	0.495200	610422.018000	698.420161	
100000.000000	1435.000000	0.496800	614256.991000	700.863371	
100000.000000	1440.000000	0.498300	618092.003000	703.304175	
100000.000000	1445.000000	0.499800	621927.053000	705.742571	
100000.000000	1450.000000	0.501300	625762.139000	708.178559	
100000.000000	1455.000000	0.502900	629597.260000	710.612139	
100000.000000	1460.000000	0.504400	633432.414000	713.043310	
100000.000000	1465.000000	0.505800	637267.602000	715.472072	
100000.000000	1470.000000	0.507300	641102.820000	717.898424	
100000.000000	1475.000000	0.508800	644938.068000	720.322367	
100000.000000	1480.000000	0.510300	648773.345000	722.743900	
100000.000000	1485.000000	0.511700	652608.650000	725.163022	
100000.000000	1490.000000	0.513200	656443.980000	727.579735	
100000.000000	1495.000000	0.514600	660279.336000	729.994037	
100000.000000	1500.000000	0.516000	664114.716000	732.405929	
100000.000000	1505.000000	0.517500	667950.119000	734.815410	
100000.000000	1510.000000	0.518900	671785.543000	737.222481	
100000.000000	1515.000000	0.520300	675620.987000	739.627142	
100000.000000	1520.000000	0.521700	679456.451000	742.029393	
100000.000000	1525.000000	0.523100	683291.932000	744.429233	
100000.000000	1530.000000	0.524400	687127.430000	746.826664	
100000.000000	1535.000000	0.525800	690962.944000	749.221685	
100000.000000	1540.000000	0.527200	694798.471000	751.614296	
100000.000000	1545.000000	0.528500	698634.015000	754.004501	
100000.000000	1550.000000	0.529900	702469.458000	756.392327	
100000.000000	1555.000000	0.531200	706305.023000	758.777713	
100000.000000	1560.000000	0.532500	710141.874000	761.160615	
100000.000000	1565.000000	0.533900	713977.507000	763.541182	
100000.000000	1570.000000	0.535200	717813.146000	765.919341	
100000.000000	1575.000000	0.536500	721648.793000	768.295093	
100000.000000	1580.000000	0.537800	725484.443000	770.668438	
100000.000000	1585.000000	0.539000	729340.108000	773.037864	
100000.000000	1590.000000	0.540300	733175.991000	775.406387	
100000.000000	1595.000000	0.541600	737011.876000	777.772505	
100000.000000	1600.000000	0.542900	740847.760000	780.136218	
100000.000000	1605.000000	0.544100	744683.642000	782.497526	
100000.000000	1610.000000	0.545400	748515.267000	784.855036	
100000.000000	1615.000000	0.546600	752350.945000	787.211470	
100000.000000	1620.000000	0.547900	756186.609000	789.565498	
100000.000000	1625.000000	0.549100	760022.256000	791.917121	
100000.000000	1630.000000	0.550400	763854.397000	794.266593	
100000.000000	1635.000000	0.551600	767687.720000	796.613571	
100000.000000	1640.000000	0.552800	771521.015000	798.958143	
100000.000000	1645.000000	0.554000	775354.280000	801.300310	
100000.000000	1650.000000	0.555200	779187.511000	803.640073	
100000.000000	1655.000000	0.556400	783020.702000	805.977432	
100000.000000	1660.000000	0.557600	786853.860000	808.312388	
100000.000000	1665.000000	0.558800	790686.979000	810.644940	
