30.00,304.00,304.00,303.18,303.18,300.15,300.15,31.88,31.88,30.93,30.93,
302.1,315.2,315.2,1048.7,1048.7,1450.0,1422.9,1094.0,1074.1,329.6,329.6,
57.44,358.87,10.00,5207.98,
30.00,304.00,304.00,303.18,303.18,300.15,300.15,31.88,31.88,30.93,30.93,
302.1,315.2,315.2,1048.7,1048.7,1450.0,1422.9,1094.0,1074.1,329.6,329.6,
57.44,358.87,10.00,5207.98,
30.00,304.00,304.00,303.18,303.18,300.15,300.15,31.88,31.88,30.93,30.93,
302.1,315.2,315.2,1048.7,1048.7,1450.0,1422.9,1094.0,1074.1,329.6,329.6,
57.44,358.87,10.00,5207.98,
30.00,304.00,304.00,303.18,303.18,300.15,300.15,31.88,31.88,30.93,30.93,
302.1,315.2,315.2,1048.7,1048.7,1450.0,1422.9,1094.0,1074.1,329.6,329.6,
57.44,358.87,10.00,5207.98,
30.00,304.00,304.00,303.18,303.18,300.15,300.15,31.88,31.88,30.93,30.93,
302.1,315.2,315.2,1048.7,1048.7,1450.0,1422.9,1094.0,1074.1,329.6,329.6,
57.44,358.87,10.00,5207.98,
30.00,304.00,304.00,303.18,303.18,300.15,300.15,31.88,31.88,30.93,30.93,
302.1,315.2,315.2,1048.7,1048.7,1450.0,1422.9,1094.0,1074.1,329.6,329.6,
57.44,358.87,10.00,5207.98,
30.00,304.00,304.00,303.18,303.18,300.15,300.15,31.88,31.88,30.93,30.93,
302.1,315.2,315.2,1048.7,1048.7,1450.0,1422.9,1094.0,1074.1,329.6,329.6,
57.44,358.87,10.00,5207.98,
30.00,304.00,304.00,303.18,303.18,300.15,300.15,31.88,31.88,30.93,30.93,
302.1,315.2,315.2,1048.7,1048.7,1450.0,1422.9,1094.0,1074.1,329.6,329.6,
57.44,358.87,10.00,5207.98,
30.00,304.00,304.00,303.18,303.18,300.15,300.15,31.88,31.88,30.93,30.93,
302.1,315.2,315.2,1048.7,1048.7,1450.0,1422.9,1094.0,1074.1,329.6,329.6,
57.44,358.87,10.00,5207.98,
